weekstart,country,pred,actual,email_spend_eur,ppc_non_brand_spend_eur,ppc_brand_spend_eur,shop_other_spend_eur,trivago_spend_eur,tripadvisor_spend_eur,googleha_spend_eur,remarketing_spend_eur,display_spend_eur,yt_spend_eur,fb_spend_eur,olv_spend_eur,brandtv_spend_eur,drtv_spend_eur,ooh_spend_eur,radio_spend_eur,print_spend_eur,cinema_spend_eur,baseline
2016-03-14,de,418941.50888829376,416831.0,0.0,378334.5351563154,0.0,322357.8464737662,32183.204113830463,243818.31712067837,249144.27734183735,196318.51620493553,0.0,0.0,0.0,0.0,16053.382946997415,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-21,de,372794.78177186474,368718.0,0.0,336105.69868476776,0.0,284324.71542490734,28293.49532048253,214690.06660157218,220301.34421481908,174362.59479340818,0.0,0.0,0.0,0.0,14268.508763868827,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-28,de,392774.18477517733,395072.0,0.0,354609.74181836104,0.0,299545.1590987747,29925.92774706037,227228.87652836274,232245.11156277847,184166.85619533222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-04,de,396218.98361137125,399848.0,0.0,357611.3370660314,0.0,302586.1274509262,30290.699527990364,227262.77519277125,234168.02750272566,187565.7117780176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11,de,414476.28616721305,417456.0,0.0,374374.98243221367,0.0,317256.02861577726,32389.087737875467,237535.0982200366,245043.09886678148,197362.1628492166,0.0,0.0,0.0,0.0,15558.54542826314,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-18,de,420187.10756257176,417776.0,0.0,379681.74558947486,0.0,322359.6168362049,32614.866190649103,242143.8261967693,247972.6582643588,201496.34477223712,0.0,0.0,0.0,0.0,15837.708935680974,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-25,de,422066.3235121693,424341.0,0.0,381434.43324000936,0.0,325289.5550283263,32416.268892702006,244214.73282881783,249723.09872579956,203838.05588746985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,de,387888.92172527505,376302.0,0.0,349652.3994932027,0.0,297884.9273334073,29091.12565664563,222780.3601152355,227042.96486030848,184707.4926662762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,de,415646.50661325344,430263.0,0.0,375506.9145194742,0.0,319381.98546453443,31646.284710448526,239397.13856217347,245872.07515676526,199974.00584102754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-16,de,439963.003692321,445337.0,0.0,397825.7185995707,0.0,339052.6448921592,34017.43000083591,253268.4748259166,261108.2043496011,212886.776364405,0.0,0.0,0.0,0.0,16179.087001752923,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-23,de,411432.2041080091,420704.0,0.0,371877.2106105685,0.0,315565.79818770307,31992.275105175795,237596.15628005163,243662.62931743448,196939.63467613858,0.0,0.0,0.0,0.0,15129.012549351668,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-30,de,421364.276248132,421317.0,0.0,380743.5336672629,0.0,324521.2293627598,32298.782598671096,245396.11843975898,249625.4413012018,202186.2353352811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-06,de,419025.07070879714,420703.0,0.0,378654.27705434745,0.0,323728.6577824651,32347.997288321494,244223.25669705152,247496.18159676483,199799.34454047767,0.0,0.0,0.0,0.0,14247.746775701526,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-13,de,445968.8859800141,435289.0,0.0,403546.4896417525,0.0,345408.66089531383,34522.21908383275,259521.3042179819,263729.2520598463,214333.79791549113,0.0,0.0,0.0,0.0,16636.903001097962,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-20,de,424521.9151065256,408601.0,0.0,383380.723673414,0.0,328076.3973343594,32902.981575443875,245157.23005534476,249394.66940180547,203530.87468791683,0.0,0.0,0.0,0.0,16144.861779485247,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-27,de,435441.4489242364,439705.0,0.0,393990.78679981077,0.0,335394.02497278526,34058.69968181697,253431.42055365932,256497.70388916775,209886.0454794543,0.0,0.0,0.0,0.0,16075.87376885966,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-04,de,442775.99860026804,455337.0,0.0,401080.8485578586,0.0,341837.14711392013,34843.81026266329,257670.09388038868,261586.79269186247,213703.21994983894,0.0,0.0,0.0,0.0,16093.278380850446,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-11,de,474551.42391239194,499164.0,0.0,430557.2337610513,0.0,367533.807563191,37501.50231414434,277278.4146560598,282232.3945663545,232434.4466266875,0.0,0.0,0.0,0.0,17275.62393614225,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-18,de,463872.708136918,476865.0,0.0,420366.9237655081,0.0,358220.89885504945,36591.93803210347,269771.14367610216,274890.0405846166,227224.5438885857,0.0,0.0,0.0,0.0,9994.187342968828,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-25,de,496667.71630325686,501210.0,0.0,450549.99817384884,0.0,386367.44558896497,39261.58000036172,289950.6070130771,295264.0650226307,243843.9040572586,0.0,0.0,0.0,0.0,12377.576277905377,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,de,494182.42796747206,526546.0,0.0,448485.50726803,0.0,385816.860149947,39181.747622197436,287343.4975544782,294375.4375576427,241405.58692903418,0.0,0.0,0.0,0.0,17571.62227391894,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-08,de,507008.7627383106,525916.0,0.0,459996.10014861485,0.0,394579.28170846915,40337.3198783269,294910.472554876,302714.0908092235,247251.74051093886,0.0,0.0,0.0,0.0,18196.04333619232,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-15,de,489990.2715379857,503030.0,0.0,443822.98228298576,0.0,380790.746362066,38365.355257522955,284985.53150695364,291882.87837701326,239001.08894459318,0.0,0.0,0.0,0.0,11623.312503537047,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-22,de,496762.3843265774,466215.0,0.0,449750.5355675446,0.0,384664.18211710267,38346.02738744725,287976.45175008907,295097.95041652187,241520.04673975092,0.0,0.0,0.0,0.0,12296.977980079479,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-29,de,493691.7737004769,493533.0,0.0,446524.1317425242,0.0,382707.9217253118,38433.31991980877,286783.73388098984,294735.2660065783,240259.11878854438,0.0,0.0,0.0,0.0,10332.174153146276,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-05,de,480556.78196013294,482100.0,0.0,433860.3993525634,0.0,371898.11380505736,37535.60496586998,279251.6192414155,285110.7827910735,230861.4098844437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-12,de,461825.9444896193,480827.0,0.0,417014.58323003666,0.0,356475.917758132,35864.99493278732,269077.5249568487,274080.71034054575,221647.0074474902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-19,de,455910.1788265274,466659.0,0.0,411312.1479740415,0.0,350604.75502887083,35197.91975167935,263518.0403358945,271117.0970479669,217435.34053118288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-26,de,453151.533640677,465001.0,0.0,409216.3114307498,0.0,348261.7118700733,34795.41721348133,260323.76890306966,270471.22196939774,217279.58699205687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-03,de,479312.65552908176,473432.0,0.0,432329.75210893695,0.0,369258.18934429315,36682.2077543349,277411.6351528829,285555.77597709105,231220.51256533174,0.0,0.0,0.0,0.0,16991.782601495972,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-10,de,469637.83320159774,450698.0,0.0,423500.3074701345,0.0,359730.6634237807,36061.52054455946,270918.8457752988,279332.19249856647,225274.96631921706,0.0,0.0,0.0,0.0,16883.966421284247,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-17,de,449181.88325714774,446316.0,0.0,405261.3080499408,0.0,343807.21252812975,34367.6035935409,257616.54635880463,267654.9144524302,214563.49109970493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-24,de,437642.99920505675,422916.0,0.0,394622.4014578357,0.0,335467.0469267735,33084.17561583378,250178.2818034302,259752.66155171083,207630.02677487314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,de,420825.9393031267,421813.0,0.0,379340.7902129088,0.0,321632.41382486455,31800.628908627958,240734.52762907764,250160.2872322045,197030.0437891634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-07,de,414451.2044543327,408835.0,0.0,373724.6787341553,0.0,316066.55934368836,31269.40280919324,236394.99632348743,246392.85962813767,190778.0505375482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-14,de,410305.9813412302,411136.0,0.0,370203.72092719877,0.0,311651.0690013072,30863.692423035565,233425.8774518356,244696.68351263518,189680.61692913604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-21,de,378791.6489077718,379719.0,0.0,341092.09846799076,0.0,285937.2505659915,28347.1468732364,212842.45908596306,224221.71936492316,172734.7625871199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-28,de,367328.28481199517,377347.0,0.0,330584.34607775614,0.0,277099.01194876083,27338.96928913152,206038.02649843213,218244.55867529137,168538.77676331464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-05,de,361899.42347726785,377142.0,0.0,325791.0842088323,0.0,272963.88748382183,27024.875479385897,202705.6597158777,216350.56292094075,166768.70909594736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-12,de,367706.63777180394,370220.0,0.0,331035.6577764087,0.0,277604.51801028015,28007.620682484703,207486.77925403806,219484.8746413777,171662.50928208051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
