country_std,channel,sales
100513.28380878668,direct,283164.0
100513.28380878668,emk,19878.0
100513.28380878668,interco,3140.0
100513.28380878668,ppc_brand,49821.0
100513.28380878668,ppc_nonbrand,141452.0
100513.28380878668,retargeting,3696.0
100513.28380878668,shop_googleha,12455.0
100513.28380878668,shop_other,5777.0
100513.28380878668,shop_tripadvisor,17284.0
100513.28380878668,shop_trivago,41929.0
100513.28380878668,strat_part,33634.0
100741.42020209914,direct,192247.0
100741.42020209914,emk,22286.0
100741.42020209914,interco,60369.0
100741.42020209914,ppc_brand,25245.0
100741.42020209914,ppc_nonbrand,122605.0
100741.42020209914,retargeting,4389.0
100741.42020209914,shop_googleha,36751.0
100741.42020209914,shop_other,25839.0
100741.42020209914,shop_tripadvisor,32212.0
100741.42020209914,shop_trivago,36655.0
100741.42020209914,strat_part,37237.0
100839.71064254246,direct,396925.0
100839.71064254246,emk,16745.0
100839.71064254246,interco,1667.0
100839.71064254246,ppc_brand,77643.0
100839.71064254246,ppc_nonbrand,123923.0
100839.71064254246,retargeting,3940.0
100839.71064254246,shop_googleha,34333.0
100839.71064254246,shop_other,9199.0
100839.71064254246,shop_tripadvisor,9183.0
100839.71064254246,shop_trivago,21367.0
100839.71064254246,strat_part,68755.0
100978.54588799384,direct,306961.0
100978.54588799384,emk,17891.0
100978.54588799384,interco,3472.0
100978.54588799384,ppc_brand,45779.0
100978.54588799384,ppc_nonbrand,103581.0
100978.54588799384,retargeting,4070.0
100978.54588799384,shop_googleha,21533.0
100978.54588799384,shop_other,3138.0
100978.54588799384,shop_tripadvisor,11197.0
100978.54588799384,shop_trivago,33111.0
100978.54588799384,strat_part,33705.0
101058.81716947391,direct,362419.0
101058.81716947391,emk,23439.0
101058.81716947391,interco,4361.0
101058.81716947391,ppc_brand,59205.0
101058.81716947391,ppc_nonbrand,183937.0
101058.81716947391,retargeting,3996.0
101058.81716947391,shop_googleha,22235.0
101058.81716947391,shop_other,6045.0
101058.81716947391,shop_tripadvisor,21524.0
101058.81716947391,shop_trivago,47929.0
101058.81716947391,strat_part,42506.0
101336.20870672655,direct,197496.0
101336.20870672655,emk,21867.0
101336.20870672655,interco,71042.0
101336.20870672655,ppc_brand,26728.0
101336.20870672655,ppc_nonbrand,137208.0
101336.20870672655,retargeting,4146.0
101336.20870672655,shop_googleha,42049.0
101336.20870672655,shop_other,26952.0
101336.20870672655,shop_tripadvisor,36086.0
101336.20870672655,shop_trivago,43758.0
101336.20870672655,strat_part,39049.0
101514.0455284384,direct,191469.0
101514.0455284384,emk,19776.0
101514.0455284384,interco,49925.0
101514.0455284384,ppc_brand,23095.0
101514.0455284384,ppc_nonbrand,120333.0
101514.0455284384,retargeting,5256.0
101514.0455284384,shop_googleha,24354.0
101514.0455284384,shop_other,22969.0
101514.0455284384,shop_tripadvisor,29010.0
101514.0455284384,shop_trivago,51800.0
101514.0455284384,strat_part,38968.0
101583.09468886897,direct,308864.0
101583.09468886897,emk,19435.0
101583.09468886897,interco,1734.0
101583.09468886897,ppc_brand,50246.0
101583.09468886897,ppc_nonbrand,125780.0
101583.09468886897,retargeting,4574.0
101583.09468886897,shop_googleha,23090.0
101583.09468886897,shop_other,6531.0
101583.09468886897,shop_tripadvisor,8539.0
101583.09468886897,shop_trivago,41121.0
101583.09468886897,strat_part,39378.0
102871.75133082642,direct,257264.0
102871.75133082642,emk,15018.0
102871.75133082642,interco,1312.0
102871.75133082642,ppc_brand,48658.0
102871.75133082642,ppc_nonbrand,105928.0
102871.75133082642,retargeting,3657.0
102871.75133082642,shop_googleha,17320.0
102871.75133082642,shop_other,4259.0
