weekstart,country,pred,actual,email_spend_eur,ppc_non_brand_spend_eur,ppc_brand_spend_eur,shop_other_spend_eur,trivago_spend_eur,tripadvisor_spend_eur,googleha_spend_eur,remarketing_spend_eur,display_spend_eur,yt_spend_eur,fb_spend_eur,olv_spend_eur,brandtv_spend_eur,drtv_spend_eur,ooh_spend_eur,radio_spend_eur,print_spend_eur,cinema_spend_eur,baseline
2016-07-18,gb,583322.7514483844,609837.0,0.0,571275.0634083898,194526.54284150747,448168.6707691094,0.0,340472.6868320715,0.0,251590.07504628983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-25,gb,639124.8116739416,648698.0,0.0,626172.813058842,220675.37850078318,491487.8116738044,0.0,374108.370039122,0.0,276555.41643039754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,gb,618381.1741479235,647007.0,0.0,605768.0426857979,214914.64053780696,473932.53257886984,0.0,359058.78967976785,0.0,266015.7215118755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-08,gb,609192.3390139316,625065.0,0.0,596611.2146115233,212002.74056497868,465816.66173243884,0.0,351905.2607031526,0.0,260691.50390310545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-15,gb,601832.8124248339,616606.0,0.0,589142.7874164847,203231.3902744181,460607.1284611589,0.0,349685.60452825576,0.0,258128.32960511092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-22,gb,619975.9662518325,606387.0,0.0,606975.5667324959,211012.59042518103,475477.79791123245,0.0,358319.257925733,0.0,264735.31275157846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-29,gb,616013.5808252937,616918.0,0.0,602742.4782351156,210706.42576451786,472485.57564725075,0.0,355838.57689088525,0.0,263836.99683621776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-05,gb,620202.2358034858,612230.0,0.0,606641.2469906828,213285.70385308127,475184.23452416237,0.0,358911.43108927435,0.0,264137.16591497243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-12,gb,602343.6657351945,592272.0,0.0,589152.6951420859,204228.28460417298,460484.73143374687,0.0,347422.2120170767,0.0,254469.5309813972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-19,gb,601781.9229101501,592220.0,0.0,588550.4841563673,201494.51142685697,459683.3538723743,0.0,346711.9711434828,0.0,253433.95584143128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-26,gb,589998.314498922,588250.0,0.0,576930.997312787,197165.95000544994,450237.0867087097,0.0,337989.607950756,0.0,249877.3488255986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-03,gb,603167.0770058458,605180.0,0.0,589636.6277629556,198385.25751817093,458991.42985627585,0.0,348351.5747099456,0.0,256839.2018259655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-10,gb,594959.5370927019,591072.0,0.0,581627.1567598516,193097.7234454024,451883.748396872,0.0,341424.49209568906,0.0,252415.21728848107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-17,gb,570923.7367043945,577945.0,0.0,558012.2746868171,183276.38901596214,432073.5704413508,0.0,326654.6738757045,0.0,238894.39695252682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-24,gb,553415.9278678977,562078.0,0.0,540778.5515240264,176511.18691909924,419133.8569657231,0.0,314608.91007847077,0.0,228272.8463574074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,gb,533380.5221067487,569801.0,0.0,521018.00269937055,169881.61837203958,404106.5916914085,0.0,303096.63552846096,0.0,217467.45149713062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-07,gb,543002.7684612237,551733.0,0.0,530613.7498857852,173647.8401728801,412792.535014283,0.0,308086.7804264421,0.0,221174.64788970328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-14,gb,543852.9026631841,542042.0,0.0,531487.1614989017,174161.67463986774,412412.3188041309,0.0,307724.84009257297,0.0,220917.50928557076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
