weekstart,country,pred,actual,email_spend_eur,ppc_non_brand_spend_eur,ppc_brand_spend_eur,shop_other_spend_eur,trivago_spend_eur,tripadvisor_spend_eur,googleha_spend_eur,remarketing_spend_eur,display_spend_eur,yt_spend_eur,fb_spend_eur,olv_spend_eur,brandtv_spend_eur,drtv_spend_eur,ooh_spend_eur,radio_spend_eur,print_spend_eur,cinema_spend_eur,baseline
2016-07-25,us,881449.0314624361,836413.0,0.0,166793.68470471678,25406.284816061496,0.0,121422.03153702756,8682.660744942725,69248.84341621993,54160.858002412366,8200.192400402855,0.0,960.0524638068164,1961.5422572968528,0.0,0.0,0.0,0.0,0.0,0.0,424612.8811195487
2016-08-01,us,819349.9063135025,817184.0,0.0,154806.5206168322,24370.95137236803,0.0,109311.34609878983,8479.609402700211,61139.19962531584,44247.96565851837,3167.0772143774666,0.0,1086.7170496465405,2324.859547770815,0.0,7233.080778961768,0.0,0.0,0.0,0.0,403182.5789482214
2016-08-08,us,820488.2136470103,798057.0,0.0,140595.48400452896,24266.76890390995,0.0,122621.87696669518,7907.090668637422,57486.489844036754,41423.6372932262,4631.714042795356,0.0,5509.295454628416,3400.0069720480824,0.0,6914.591344757355,0.0,0.0,0.0,0.0,405731.2581517466
2016-08-15,us,746941.0660060655,724753.0,0.0,122811.45106416999,23365.064219158492,0.0,91569.60121473775,8520.147276467644,52349.38252594264,37329.90944896091,6464.421590069425,0.0,785.9089938158868,4019.526533449185,0.0,0.0,0.0,0.0,0.0,0.0,399725.65313929354
2016-08-22,us,693546.3933091991,674563.0,0.0,112751.4964620556,21943.042226159363,0.0,75782.11673872673,6510.419613190577,48625.65887681965,29139.11775165447,6244.774370177882,0.0,1569.7651549844304,4019.526533449185,0.0,0.0,0.0,0.0,0.0,0.0,386960.47558198124
2016-08-29,us,676927.5968923582,667327.0,0.0,104704.62706880283,20910.380020083627,0.0,69316.03022717452,6141.773054325138,50132.58010901115,30614.86969164014,6540.265251751291,0.0,678.2317042484647,4019.526533449185,0.0,0.0,0.0,0.0,0.0,0.0,383869.3132318718
2016-09-05,us,649253.1859887409,610928.0,0.0,89016.7464333562,18407.803342847852,0.0,66437.02315170283,6664.949787421268,37944.33052689128,32325.336249047075,1359.8975507790456,0.0,1.7030450656311586,832.92181974696,0.0,0.0,0.0,0.0,0.0,0.0,396262.47408188274
2016-09-12,us,636498.552645179,618135.0,0.0,90546.64952637255,18401.26385815977,0.0,74824.52090587211,6018.671652144752,39935.68853659474,29033.74642723112,365.613736782223,0.0,0.6241696804063395,223.93426540854853,0.0,0.0,0.0,0.0,0.0,0.0,377147.83956693276
2016-09-19,us,623177.5306207095,609386.0,0.0,86171.88873599679,18049.4334288924,0.0,73128.73911665822,6393.057541168644,42082.60555963102,27158.948114454048,278.98301916522905,0.0,0.21689953771419823,170.87393373064697,0.0,0.0,0.0,0.0,0.0,0.0,369742.7842714748
2016-09-26,us,615306.0082131319,582370.0,0.0,84031.88945253566,17516.270577958552,0.0,58434.53232597455,6014.242749186116,41665.37611709745,26972.011050800676,9.431480430066586e-05,0.0,0.9854302417952567,5.776667967438698e-05,0.0,0.0,0.0,0.0,0.0,0.0,380670.70035725564
2016-10-03,us,624833.3580763163,638675.0,0.0,95161.24394913123,17413.731714415015,0.0,52761.29831641412,7003.478637522319,42941.866157695185,34613.66183778329,1285.7689766064286,0.0,333.8218566426076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373318.4866301061
2016-10-10,us,589387.8240266909,581496.0,0.0,81533.62348952988,13407.751069786842,0.0,58900.122257940355,5468.644513389561,41439.73144148581,30741.570078103687,2659.013994559762,0.0,345.5847194233211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354891.7824624717
