country,Top elastic channels (pref ADBUDG),Increase budget (pp),Cut budget (pp)
de,"Metasearch (0.170), Non-Branded PPC (0.131), Remarketing (0.099)","Remarketing (+22.3pp), Metasearch (+12.5pp)","Non-Branded PPC (-33.3pp), Branded PPC (-1.4pp)"
gb,"Non-Branded PPC (0.246), Metasearch (0.160), Remarketing (0.040)","Remarketing (+6.8pp), Branded PPC (+4.2pp)","Non-Branded PPC (-12.3pp), Email (0.0pp)"
us,"Metasearch (0.265), Non-Branded PPC (0.136), Remarketing (0.102)","Remarketing (+17.0pp), Branded PPC (+6.2pp)","Non-Branded PPC (-22.1pp), Metasearch (-1.1pp)"
