country,channel,a,c,d
de,Branded PPC,4377.040689159607,1.7829543774584802,5887.405714488615
de,Non-Branded PPC,4501.429087013208,0.8481743022511853,144015.49715674625
de,Metasearch,4528.678447224348,0.8567106686750009,85111.38100796872
de,Remarketing,5804.407902646367,1.0303803074282047,104428.96340040056
de,Email,2733.96967034821,0.8,1.0
gb,Branded PPC,844.0530057647914,0.3610000929422671,13961.121240537814
gb,Non-Branded PPC,9305.994312636822,0.7678827038666418,160597.64855687632
gb,Metasearch,14279.811786670434,0.809111301816166,127949.52653125681
gb,Remarketing,9931.192307527921,0.9981046766814319,82689.48280483675
gb,Email,2765.0756355725034,0.8,1.0
us,Branded PPC,875.293307767244,2.7610539838467507,55022.587235463194
us,Non-Branded PPC,17258.40611094887,0.7595042474221131,449853.41104808036
us,Metasearch,16695.964697742555,0.6407703868311962,171899.2918526082
us,Remarketing,42706.658932022125,0.9898413904434421,244641.98621314624
us,Email,4461.996290532274,0.8,1.0
